top - 04:07:41 up  1:49,  4 users,  load average: 1.00, 1.34, 1.60
   27 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kthrotld
   28 root       1 -19       0      0      0 S  0.0  0.0   0:00.00 VCHIQ-0
   29 root       1 -19       0      0      0 S  0.0  0.0   0:00.00 VCHIQr-0
   30 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 VCHIQs-0
   31 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 iscsi_eh
   32 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 dwc_otg
   33 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 DWC Notificat+
   36 root      20   0       0      0      0 S  0.0  0.0   0:02.74 mmcqd/0
   37 root      20   0       0      0      0 S  0.0  0.0   0:00.00 VCHIQka-0
   38 root      10 -10       0      0      0 S  0.0  0.0   0:00.00 SMIO
   39 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 deferwq
   40 root      20   0       0      0      0 S  0.0  0.0   0:00.24 jbd2/mmcblk0p+
   41 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ext4-rsv-conv+
   42 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ipv6_addrconf
   56 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/0:1H
   85 root      20   0    8104   2400   2148 S  0.0  0.5   0:01.25 systemd-journ+
   90 root      20   0   11360   1928   1504 S  0.0  0.4   0:00.57 systemd-udevd
  312 root      20   0    5060   1832   1636 S  0.0  0.4   0:00.06 cron
  313 root      20   0   31240   2436   1720 S  0.0  0.5   0:00.26 rsyslogd
  314 avahi     20   0    3864   1880   1624 S  0.0  0.4   0:01.34 avahi-daemon
  317 message+  20   0    5480   1892   1560 S  0.0  0.4   0:00.25 dbus-daemon
  320 avahi     20   0    3864   1092    872 S  0.0  0.2   0:00.00 avahi-daemon
  324 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 cfg80211
  330 root      20   0    3388   1640   1424 S  0.0  0.4   0:00.16 systemd-logind
  370 nobody    20   0    2280   1200   1076 S  0.0  0.3   0:00.24 thd
  372 root      20   0    2372   1228   1136 S  0.0  0.3   0:00.97 gpm
  520 root      20   0    2552   1508   1260 S  0.0  0.3   0:00.30 dhcpcd
  521 root      20   0    7856   3592   3136 S  0.0  0.8   0:00.15 sshd
  560 ntp       20   0    5676   2184   1756 S  0.0  0.5   0:01.77 ntpd
  603 root      20   0    5136   2136   1736 S  0.0  0.5   0:00.44 login
  604 root      20   0    3860   1340   1216 S  0.0  0.3   0:00.03 agetty
  697 root      20   0   22460   2968   1768 S  0.0  0.7   0:00.51 nmbd
  708 root      20   0   35636   4000   2316 S  0.0  0.9   0:00.94 smbd
  714 root      20   0   35636   3116   1432 S  0.0  0.7   0:00.09 smbd
  727 root      20   0    6792   3796   1848 S  0.0  0.9   0:01.99 bash
  792 root      20   0       0      0      0 S  0.0  0.0   0:01.25 kworker/0:1
  871 root      20   0   11472   3868   3232 S  0.0  0.9   0:02.47 sshd
  881 root      20   0    6812   4448   2484 S  0.0  1.0   0:07.60 bash
  953 root      20   0       0      0      0 S  0.0  0.0   0:01.65 kworker/u2:1
 1425 root      20   0   11472   4708   4064 S  0.0  1.1   0:01.52 sshd
 1435 root      20   0    6728   4636   2752 S  0.0  1.0   0:03.75 bash
 1588 root      20   0   11472   4740   4112 S  0.0  1.1   0:00.57 sshd
 1598 root      20   0    6752   4620   2712 S  0.0  1.0   0:01.74 bash
 1644 root      20   0       0      0      0 D  0.0  0.0   0:00.54 kworker/u2:2
 1734 root      20   0    7160   4352   3844 S  0.0  1.0   0:00.31 ssh
 1737 root      20   0       0      0      0 S  0.0  0.0   0:00.01 kworker/u2:0

top - 04:08:33 up  1:50,  4 users,  load average: 1.92, 1.53, 1.65
Tasks:  67 total,   2 running,  65 sleeping,   0 stopped,   0 zombie
%Cpu(s): 95.4 us,  3.7 sy,  0.0 ni,  0.0 id,  0.9 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:    445396 total,   424636 used,    20760 free,     3876 buffers
KiB Swap:   102396 total,     4124 used,    98272 free.    34152 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 1735 root      20   0  345876 345148   1292 R 96.2 77.5   0:36.27 brams
 1733 root      20   0    4972   2360   2080 R  3.7  0.5   0:01.89 top
 1734 root      20   0    7160   4352   3844 S  0.9  1.0   0:00.32 ssh
    1 root      20   0    5312   2536   1788 S  0.0  0.6   0:06.24 systemd
    2 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kthreadd
    3 root      20   0       0      0      0 S  0.0  0.0   0:01.56 ksoftirqd/0
    4 root      20   0       0      0      0 S  0.0  0.0   0:00.50 kworker/0:0
    5 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/0:0H
    7 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 khelper
    8 root      20   0       0      0      0 S  0.0  0.0   0:00.02 kdevtmpfs
    9 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 netns
   10 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 perf
   11 root      20   0       0      0      0 S  0.0  0.0   0:00.00 khungtaskd
   12 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 writeback
   13 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 crypto
   14 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
   15 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kblockd
   17 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 rpciod
   18 root      20   0       0      0      0 D  0.0  0.0   0:00.00 rtdm_fd
   19 root      20   0       0      0      0 S  0.0  0.0   0:01.82 kswapd0
   20 root      20   0       0      0      0 S  0.0  0.0   0:00.00 fsnotify_mark
   21 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 nfsiod
   27 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kthrotld
   28 root       1 -19       0      0      0 S  0.0  0.0   0:00.00 VCHIQ-0
   29 root       1 -19       0      0      0 S  0.0  0.0   0:00.00 VCHIQr-0
   30 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 VCHIQs-0
   31 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 iscsi_eh
   32 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 dwc_otg
   33 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 DWC Notificat+
   36 root      20   0       0      0      0 S  0.0  0.0   0:02.74 mmcqd/0
   37 root      20   0       0      0      0 S  0.0  0.0   0:00.00 VCHIQka-0
   38 root      10 -10       0      0      0 S  0.0  0.0   0:00.00 SMIO
   39 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 deferwq
   40 root      20   0       0      0      0 S  0.0  0.0   0:00.24 jbd2/mmcblk0p+
   41 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ext4-rsv-conv+
   42 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ipv6_addrconf
   56 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/0:1H
   85 root      20   0    8104   2400   2148 S  0.0  0.5   0:01.25 systemd-journ+
   90 root      20   0   11360   1928   1504 S  0.0  0.4   0:00.57 systemd-udevd
  312 root      20   0    5060   1832   1636 S  0.0  0.4   0:00.06 cron
  313 root      20   0   31240   2436   1720 S  0.0  0.5   0:00.26 rsyslogd
  314 avahi     20   0    3864   1880   1624 S  0.0  0.4   0:01.34 avahi-daemon
  317 message+  20   0    5480   1892   1560 S  0.0  0.4   0:00.25 dbus-daemon
  320 avahi     20   0    3864   1092    872 S  0.0  0.2   0:00.00 avahi-daemon
  324 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 cfg80211
  330 root      20   0    3388   1640   1424 S  0.0  0.4   0:00.16 systemd-logind
  370 nobody    20   0    2280   1200   1076 S  0.0  0.3   0:00.24 thd
  372 root      20   0    2372   1228   1136 S  0.0  0.3   0:00.97 gpm
  520 root      20   0    2552   1508   1260 S  0.0  0.3   0:00.30 dhcpcd
  521 root      20   0    7856   3592   3136 S  0.0  0.8   0:00.15 sshd
  560 ntp       20   0    5676   2184   1756 S  0.0  0.5   0:01.77 ntpd
  603 root      20   0    5136   2136   1736 S  0.0  0.5   0:00.44 login
  604 root      20   0    3860   1340   1216 S  0.0  0.3   0:00.03 agetty
  697 root      20   0   22460   2968   1768 S  0.0  0.7   0:00.51 nmbd
  708 root      20   0   35636   4000   2316 S  0.0  0.9   0:00.94 smbd
  714 root      20   0   35636   3116   1432 S  0.0  0.7   0:00.09 smbd
  727 root      20   0    6792   3796   1848 S  0.0  0.9   0:01.99 bash
  792 root      20   0       0      0      0 S  0.0  0.0   0:01.25 kworker/0:1
  871 root      20   0   11472   3868   3232 S  0.0  0.9   0:02.47 sshd
  881 root      20   0    6812   4448   2484 S  0.0  1.0   0:07.60 bash
  953 root      20   0       0      0      0 S  0.0  0.0   0:01.65 kworker/u2:1
 1425 root      20   0   11472   4708   4064 S  0.0  1.1   0:01.52 sshd
 1435 root      20   0    6728   4636   2752 S  0.0  1.0   0:03.75 bash
 1588 root      20   0   11472   4740   4112 S  0.0  1.1   0:00.57 sshd
 1598 root      20   0    6752   4620   2712 S  0.0  1.0   0:01.74 bash
 1644 root      20   0       0      0      0 S  0.0  0.0   0:00.54 kworker/u2:2
 1737 root      20   0       0      0      0 S  0.0  0.0   0:00.01 kworker/u2:0

top - 04:08:34 up  1:50,  4 users,  load average: 1.92, 1.53, 1.65
Tasks:  67 total,   2 running,  65 sleeping,   0 stopped,   0 zombie
%Cpu(s): 96.3 us,  3.7 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:    445396 total,   424636 used,    20760 free,     3876 buffers
KiB Swap:   102396 total,     4124 used,    98272 free.    34152 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 1735 root      20   0  345876 345148   1292 R 93.5 77.5   0:37.28 brams
 1733 root      20   0    4972   2360   2080 R  2.8  0.5   0:01.92 top
   19 root      20   0       0      0      0 S  0.9  0.0   0:01.83 kswapd0
   36 root      20   0       0      0      0 S  0.9  0.0   0:02.75 mmcqd/0
 1644 root      20   0       0      0      0 S  0.9  0.0   0:00.55 kworker/u2:2
    1 root      20   0    5312   2536   1788 S  0.0  0.6   0:06.24 systemd
    2 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kthreadd
    3 root      20   0       0      0      0 S  0.0  0.0   0:01.56 ksoftirqd/0
    4 root      20   0       0      0      0 S  0.0  0.0   0:00.50 kworker/0:0
    5 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/0:0H
    7 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 khelper
    8 root      20   0       0      0      0 S  0.0  0.0   0:00.02 kdevtmpfs
    9 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 netns
   10 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 perf
   11 root      20   0       0      0      0 S  0.0  0.0   0:00.00 khungtaskd
   12 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 writeback
   13 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 crypto
   14 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
   15 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kblockd
   17 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 rpciod
   18 root      20   0       0      0      0 D  0.0  0.0   0:00.00 rtdm_fd
   20 root      20   0       0      0      0 S  0.0  0.0   0:00.00 fsnotify_mark
   21 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 nfsiod
   27 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kthrotld
   28 root       1 -19       0      0      0 S  0.0  0.0   0:00.00 VCHIQ-0
   29 root       1 -19       0      0      0 S  0.0  0.0   0:00.00 VCHIQr-0
   30 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 VCHIQs-0
   31 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 iscsi_eh
   32 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 dwc_otg
   33 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 DWC Notificat+
   37 root      20   0       0      0      0 S  0.0  0.0   0:00.00 VCHIQka-0
   38 root      10 -10       0      0      0 S  0.0  0.0   0:00.00 SMIO
   39 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 deferwq
   40 root      20   0       0      0      0 S  0.0  0.0   0:00.24 jbd2/mmcblk0p+
   41 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ext4-rsv-conv+
   42 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ipv6_addrconf
   56 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/0:1H
   85 root      20   0    8104   2400   2148 S  0.0  0.5   0:01.25 systemd-journ+
   90 root      20   0   11360   1928   1504 S  0.0  0.4   0:00.57 systemd-udevd
  312 root      20   0    5060   1832   1636 S  0.0  0.4   0:00.06 cron
  313 root      20   0   31240   2436   1720 S  0.0  0.5   0:00.26 rsyslogd
  314 avahi     20   0    3864   1880   1624 S  0.0  0.4   0:01.34 avahi-daemon
  317 message+  20   0    5480   1892   1560 S  0.0  0.4   0:00.25 dbus-daemon
  320 avahi     20   0    3864   1092    872 S  0.0  0.2   0:00.00 avahi-daemon
  324 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 cfg80211
  330 root      20   0    3388   1640   1424 S  0.0  0.4   0:00.16 systemd-logind
  370 nobody    20   0    2280   1200   1076 S  0.0  0.3   0:00.24 thd
  372 root      20   0    2372   1228   1136 S  0.0  0.3   0:00.97 gpm
  520 root      20   0    2552   1508   1260 S  0.0  0.3   0:00.30 dhcpcd
  521 root      20   0    7856   3592   3136 S  0.0  0.8   0:00.15 sshd
  560 ntp       20   0    5676   2184   1756 S  0.0  0.5   0:01.77 ntpd
  603 root      20   0    5136   2136   1736 S  0.0  0.5   0:00.44 login
  604 root      20   0    3860   1340   1216 S  0.0  0.3   0:00.03 agetty
  697 root      20   0   22460   2968   1768 S  0.0  0.7   0:00.51 nmbd
  708 root      20   0   35636   4000   2316 S  0.0  0.9   0:00.94 smbd
  714 root      20   0   35636   3116   1432 S  0.0  0.7   0:00.09 smbd
  727 root      20   0    6792   3796   1848 S  0.0  0.9   0:01.99 bash
  792 root      20   0       0      0      0 S  0.0  0.0   0:01.25 kworker/0:1
  871 root      20   0   11472   3868   3232 S  0.0  0.9   0:02.47 sshd
  881 root      20   0    6812   4448   2484 S  0.0  1.0   0:07.60 bash
  953 root      20   0       0      0      0 S  0.0  0.0   0:01.65 kworker/u2:1
 1425 root      20   0   11472   4708   4064 S  0.0  1.1   0:01.52 sshd
 1435 root      20   0    6728   4636   2752 S  0.0  1.0   0:03.75 bash
 1588 root      20   0   11472   4740   4112 S  0.0  1.1   0:00.57 sshd
 1598 root      20   0    6752   4620   2712 S  0.0  1.0   0:01.74 bash
 1734 root      20   0    7160   4352   3844 S  0.0  1.0   0:00.32 ssh
 1737 root      20   0       0      0      0 S  0.0  0.0   0:00.01 kworker/u2:0

top - 04:08:35 up  1:50,  4 users,  load average: 1.92, 1.54, 1.65
Tasks:  67 total,   2 running,  65 sleeping,   0 stopped,   0 zombie
%Cpu(s): 95.4 us,  4.6 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:    445396 total,   424636 used,    20760 free,     3876 buffers
KiB Swap:   102396 total,     4124 used,    98272 free.    34152 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 1735 root      20   0  345876 345148   1292 R 96.3 77.5   0:38.32 brams
 1733 root      20   0    4972   2360   2080 R  3.7  0.5   0:01.96 top
    1 root      20   0    5312   2536   1788 S  0.0  0.6   0:06.24 systemd
    2 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kthreadd
    3 root      20   0       0      0      0 S  0.0  0.0   0:01.56 ksoftirqd/0
    4 root      20   0       0      0      0 S  0.0  0.0   0:00.50 kworker/0:0
    5 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/0:0H
    7 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 khelper
    8 root      20   0       0      0      0 S  0.0  0.0   0:00.02 kdevtmpfs
    9 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 netns
   10 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 perf
   11 root      20   0       0      0      0 S  0.0  0.0   0:00.00 khungtaskd
   12 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 writeback
   13 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 crypto
   14 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
   15 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kblockd
   17 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 rpciod
   18 root      20   0       0      0      0 D  0.0  0.0   0:00.00 rtdm_fd
   19 root      20   0       0      0      0 S  0.0  0.0   0:01.83 kswapd0
   20 root      20   0       0      0      0 S  0.0  0.0   0:00.00 fsnotify_mark
   21 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 nfsiod
   27 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kthrotld
   28 root       1 -19       0      0      0 S  0.0  0.0   0:00.00 VCHIQ-0
   29 root       1 -19       0      0      0 S  0.0  0.0   0:00.00 VCHIQr-0
   30 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 VCHIQs-0
   31 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 iscsi_eh
   32 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 dwc_otg
   33 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 DWC Notificat+
   36 root      20   0       0      0      0 S  0.0  0.0   0:02.75 mmcqd/0
   37 root      20   0       0      0      0 S  0.0  0.0   0:00.00 VCHIQka-0
   38 root      10 -10       0      0      0 S  0.0  0.0   0:00.00 SMIO
   39 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 deferwq
   40 root      20   0       0      0      0 S  0.0  0.0   0:00.24 jbd2/mmcblk0p+
   41 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ext4-rsv-conv+
   42 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ipv6_addrconf
   56 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/0:1H
   85 root      20   0    8104   2400   2148 S  0.0  0.5   0:01.25 systemd-journ+
   90 root      20   0   11360   1928   1504 S  0.0  0.4   0:00.57 systemd-udevd
  312 root      20   0    5060   1832   1636 S  0.0  0.4   0:00.06 cron
  313 root      20   0   31240   2436   1720 S  0.0  0.5   0:00.26 rsyslogd
  314 avahi     20   0    3864   1880   1624 S  0.0  0.4   0:01.34 avahi-daemon
  317 message+  20   0    5480   1892   1560 S  0.0  0.4   0:00.25 dbus-daemon
  320 avahi     20   0    3864   1092    872 S  0.0  0.2   0:00.00 avahi-daemon
  324 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 cfg80211
  330 root      20   0    3388   1640   1424 S  0.0  0.4   0:00.16 systemd-logind
  370 nobody    20   0    2280   1200   1076 S  0.0  0.3   0:00.24 thd
  372 root      20   0    2372   1228   1136 S  0.0  0.3   0:00.97 gpm
  520 root      20   0    2552   1508   1260 S  0.0  0.3   0:00.30 dhcpcd
  521 root      20   0    7856   3592   3136 S  0.0  0.8   0:00.15 sshd
  560 ntp       20   0    5676   2184   1756 S  0.0  0.5   0:01.77 ntpd
  603 root      20   0    5136   2136   1736 S  0.0  0.5   0:00.44 login
  604 root      20   0    3860   1340   1216 S  0.0  0.3   0:00.03 agetty
  697 root      20   0   22460   2968   1768 S  0.0  0.7   0:00.51 nmbd
  708 root      20   0   35636   4000   2316 S  0.0  0.9   0:00.94 smbd
  714 root      20   0   35636   3116   1432 S  0.0  0.7   0:00.09 smbd
  727 root      20   0    6792   3796   1848 S  0.0  0.9   0:01.99 bash
  792 root      20   0       0      0      0 S  0.0  0.0   0:01.25 kworker/0:1
  871 root      20   0   11472   3868   3232 S  0.0  0.9   0:02.47 sshd
  881 root      20   0    6812   4448   2484 S  0.0  1.0   0:07.60 bash
  953 root      20   0       0      0      0 S  0.0  0.0   0:01.65 kworker/u2:1
 1425 root      20   0   11472   4708   4064 S  0.0  1.1   0:01.52 sshd
 1435 root      20   0    6728   4636   2752 S  0.0  1.0   0:03.75 bash
 1588 root      20   0   11472   4740   4112 S  0.0  1.1   0:00.57 sshd
 1598 root      20   0    6752   4620   2712 S  0.0  1.0   0:01.74 bash
 1644 root      20   0       0      0      0 S  0.0  0.0   0:00.55 kworker/u2:2
 1734 root      20   0    7160   4352   3844 S  0.0  1.0   0:00.32 ssh
 1737 root      20   0       0      0      0 S  0.0  0.0   0:00.01 kworker/u2:0

top - 04:08:37 up  1:50,  4 users,  load average: 1.92, 1.54, 1.65
Tasks:  67 total,   2 running,  65 sleeping,   0 stopped,   0 zombie
%Cpu(s): 92.6 us,  7.4 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:    445396 total,   420576 used,    24820 free,     3876 buffers
KiB Swap:   102396 total,     4124 used,    98272 free.    29856 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 1735 root      20   0  345876 345148   1292 R 94.4 77.5   0:39.34 brams
 1733 root      20   0    4972   2360   2080 R  3.7  0.5   0:02.00 top
   19 root      20   0       0      0      0 S  1.9  0.0   0:01.85 kswapd0
 1644 root      20   0       0      0      0 D  0.9  0.0   0:00.56 kworker/u2:2
    1 root      20   0    5312   2536   1788 S  0.0  0.6   0:06.24 systemd
    2 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kthreadd
    3 root      20   0       0      0      0 S  0.0  0.0   0:01.56 ksoftirqd/0
    4 root      20   0       0      0      0 S  0.0  0.0   0:00.50 kworker/0:0
    5 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/0:0H
    7 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 khelper
    8 root      20   0       0      0      0 S  0.0  0.0   0:00.02 kdevtmpfs
    9 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 netns
   10 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 perf
   11 root      20   0       0      0      0 S  0.0  0.0   0:00.00 khungtaskd
   12 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 writeback
   13 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 crypto
   14 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
   15 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kblockd
   17 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 rpciod
   18 root      20   0       0      0      0 D  0.0  0.0   0:00.00 rtdm_fd
   20 root      20   0       0      0      0 S  0.0  0.0   0:00.00 fsnotify_mark
   21 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 nfsiod
   27 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kthrotld
   28 root       1 -19       0      0      0 S  0.0  0.0   0:00.00 VCHIQ-0
   29 root       1 -19       0      0      0 S  0.0  0.0   0:00.00 VCHIQr-0
   30 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 VCHIQs-0
   31 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 iscsi_eh
   32 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 dwc_otg
   33 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 DWC Notificat+
   36 root      20   0       0      0      0 S  0.0  0.0   0:02.75 mmcqd/0
   37 root      20   0       0      0      0 S  0.0  0.0   0:00.00 VCHIQka-0
   38 root      10 -10       0      0      0 S  0.0  0.0   0:00.00 SMIO
   39 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 deferwq
   40 root      20   0       0      0      0 S  0.0  0.0   0:00.24 jbd2/mmcblk0p+
   41 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ext4-rsv-conv+
   42 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ipv6_addrconf
   56 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/0:1H
   85 root      20   0    8104   2400   2148 S  0.0  0.5   0:01.25 systemd-journ+
   90 root      20   0   11360   1928   1504 S  0.0  0.4   0:00.57 systemd-udevd
  312 root      20   0    5060   1832   1636 S  0.0  0.4   0:00.06 cron
  313 root      20   0   31240   2436   1720 S  0.0  0.5   0:00.26 rsyslogd
  314 avahi     20   0    3864   1880   1624 S  0.0  0.4   0:01.34 avahi-daemon
  317 message+  20   0    5480   1892   1560 S  0.0  0.4   0:00.25 dbus-daemon
  320 avahi     20   0    3864   1092    872 S  0.0  0.2   0:00.00 avahi-daemon
  324 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 cfg80211
  330 root      20   0    3388   1640   1424 S  0.0  0.4   0:00.16 systemd-logind
  370 nobody    20   0    2280   1200   1076 S  0.0  0.3   0:00.24 thd
  372 root      20   0    2372   1228   1136 S  0.0  0.3   0:00.97 gpm
  520 root      20   0    2552   1508   1260 S  0.0  0.3   0:00.30 dhcpcd
  521 root      20   0    7856   3592   3136 S  0.0  0.8   0:00.15 sshd
  560 ntp       20   0    5676   2184   1756 S  0.0  0.5   0:01.77 ntpd
  603 root      20   0    5136   2136   1736 S  0.0  0.5   0:00.44 login
  604 root      20   0    3860   1340   1216 S  0.0  0.3   0:00.03 agetty
  697 root      20   0   22460   2968   1768 S  0.0  0.7   0:00.51 nmbd
  708 root      20   0   35636   4000   2316 S  0.0  0.9   0:00.94 smbd
  714 root      20   0   35636   3116   1432 S  0.0  0.7   0:00.09 smbd
  727 root      20   0    6792   3796   1848 S  0.0  0.9   0:01.99 bash
  792 root      20   0       0      0      0 S  0.0  0.0   0:01.25 kworker/0:1
  871 root      20   0   11472   3868   3232 S  0.0  0.9   0:02.47 sshd
  881 root      20   0    6812   4448   2484 S  0.0  1.0   0:07.60 bash
  953 root      20   0       0      0      0 S  0.0  0.0   0:01.65 kworker/u2:1
 1425 root      20   0   11472   4708   4064 S  0.0  1.1   0:01.52 sshd
 1435 root      20   0    6728   4636   2752 S  0.0  1.0   0:03.75 bash
 1588 root      20   0   11472   4740   4112 S  0.0  1.1   0:00.57 sshd
 1598 root      20   0    6752   4620   2712 S  0.0  1.0   0:01.74 bash
 1734 root      20   0    7160   4352   3844 S  0.0  1.0   0:00.32 ssh
 1737 root      20   0       0      0      0 S  0.0  0.0   0:00.01 kworker/u2:0

top - 04:08:38 up  1:50,  4 users,  load average: 1.92, 1.54, 1.65
Tasks:  67 total,   2 running,  65 sleeping,   0 stopped,   0 zombie
%Cpu(s): 94.5 us,  5.5 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:    445396 total,   420576 used,    24820 free,     3876 buffers
KiB Swap:   102396 total,     4124 used,    98272 free.    29856 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
 1735 root      20   0  345876 345148   1292 R 95.9 77.5   0:40.38 brams
 1733 root      20   0    4972   2360   2080 R  2.8  0.5   0:02.03 top
   36 root      20   0       0      0      0 S  0.9  0.0   0:02.76 mmcqd/0
 1734 root      20   0    7160   4352   3844 S  0.9  1.0   0:00.33 ssh
    1 root      20   0    5312   2536   1788 S  0.0  0.6   0:06.24 systemd
    2 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kthreadd
    3 root      20   0       0      0      0 S  0.0  0.0   0:01.56 ksoftirqd/0
    4 root      20   0       0      0      0 S  0.0  0.0   0:00.50 kworker/0:0
    5 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/0:0H
